2026-06-24 01:44:36 configure libcurl4:arm64 7.88.1-10+deb12u14 <none>
2026-06-24 01:44:36 status unpacked libcurl4:arm64 7.88.1-10+deb12u14
2026-06-24 01:44:36 status half-configured libcurl4:arm64 7.88.1-10+deb12u14
2026-06-24 01:44:36 status installed libcurl4:arm64 7.88.1-10+deb12u14
2026-06-24 01:44:36 configure curl:arm64 7.88.1-10+deb12u14 <none>
2026-06-24 01:44:36 status unpacked curl:arm64 7.88.1-10+deb12u14
2026-06-24 01:44:36 status half-configured curl:arm64 7.88.1-10+deb12u14
2026-06-24 01:44:36 status installed curl:arm64 7.88.1-10+deb12u14
2026-06-24 01:44:36 configure gpg:arm64 2.2.40-1.1+deb12u2 <none>
2026-06-24 01:44:36 status unpacked gpg:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status half-configured gpg:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status installed gpg:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 configure gnupg-utils:arm64 2.2.40-1.1+deb12u2 <none>
2026-06-24 01:44:36 status unpacked gnupg-utils:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status half-configured gnupg-utils:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status installed gnupg-utils:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 configure gpg-agent:arm64 2.2.40-1.1+deb12u2 <none>
2026-06-24 01:44:36 status unpacked gpg-agent:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status half-configured gpg-agent:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status installed gpg-agent:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 configure gpgsm:arm64 2.2.40-1.1+deb12u2 <none>
2026-06-24 01:44:36 status unpacked gpgsm:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status half-configured gpgsm:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status installed gpgsm:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 configure dirmngr:arm64 2.2.40-1.1+deb12u2 <none>
2026-06-24 01:44:36 status unpacked dirmngr:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status half-configured dirmngr:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status installed dirmngr:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 configure gpg-wks-server:arm64 2.2.40-1.1+deb12u2 <none>
2026-06-24 01:44:36 status unpacked gpg-wks-server:arm64 2.2.40-1.1+deb12u2
