arm64	x86_64	name	status	arm64_status	x86_64_status
243	299	recvmmsg	router-domain-only	router-domain-only	router-domain-only
260	61	wait4	supported	supported	supported
261	302	prlimit64	supported	supported	supported
262	300	fanotify_init	router-domain-only	router-domain-only	router-domain-only
263	301	fanotify_mark	router-domain-only	router-domain-only	router-domain-only
264	303	name_to_handle_at	router-domain-only	router-domain-only	router-domain-only
265	304	open_by_handle_at	router-domain-only	router-domain-only	router-domain-only
266	305	clock_adjtime	supported	supported	supported
267	306	syncfs	supported	supported	supported
268	308	setns	supported	supported	supported
269	307	sendmmsg	router-domain-only	router-domain-only	router-domain-only
270	310	process_vm_readv	router-domain-only	router-domain-only	router-domain-only
271	311	process_vm_writev	router-domain-only	router-domain-only	router-domain-only
272	312	kcmp	missing	missing	missing
273	313	finit_module	missing	missing	missing
274	314	sched_setattr	supported	supported	supported
275	315	sched_getattr	supported	supported	supported
276	316	renameat2	router-domain-only	router-domain-only	router-domain-only
277	317	seccomp	supported	supported	supported
278	318	getrandom	supported	supported	supported
279	319	memfd_create	supported	supported	supported
280	321	bpf	router-domain-only	router-domain-only	router-domain-only
281	322	execveat	supported	supported	supported
282	323	userfaultfd	router-domain-only	router-domain-only	router-domain-only
283	324	membarrier	supported	supported	supported
284	325	mlock2	supported	supported	supported
285	326	copy_file_range	router-domain-only	router-domain-only	router-domain-only
286	327	preadv2	supported	supported	supported
287	328	pwritev2	supported	supported	supported
288	329	pkey_mprotect	missing	missing	missing
289	330	pkey_alloc	missing	missing	missing
290	331	pkey_free	missing	missing	missing
291	332	statx	supported	supported	supported
292	333	io_pgetevents	missing	missing	missing
293	334	rseq	missing	missing	missing
294	320	kexec_file_load	missing	missing	missing
424	424	pidfd_send_signal	supported	supported	supported
425	425	io_uring_setup	router-domain-only	router-domain-only	router-domain-only
426	426	io_uring_enter	router-domain-only	router-domain-only	router-domain-only
427	427	io_uring_register	router-domain-only	router-domain-only	router-domain-only
428	428	open_tree	missing	missing	missing
429	429	move_mount	missing	missing	missing
430	430	fsopen	missing	missing	missing
431	431	fsconfig	missing	missing	missing
432	432	fsmount	missing	missing	missing
433	433	fspick	missing	missing	missing
434	434	pidfd_open	supported	supported	supported
435	435	clone3	router-domain-only	router-domain-only	router-domain-only
436	436	close_range	supported	supported	supported
437	437	openat2	router-domain-only	router-domain-only	router-domain-only
438	438	pidfd_getfd	supported	supported	supported
439	439	faccessat2	supported	supported	supported
440	440	process_madvise	missing	missing	missing
441	441	epoll_pwait2	router-domain-only	router-domain-only	router-domain-only
442	442	mount_setattr	missing	missing	missing
443	443	quotactl_fd	missing	missing	missing
444	444	landlock_create_ruleset	missing	missing	missing
445	445	landlock_add_rule	missing	missing	missing
446	446	landlock_restrict_self	missing	missing	missing
447	447	memfd_secret	missing	missing	missing
448	448	process_mrelease	missing	missing	missing
449	449	futex_waitv	router-domain-only	router-domain-only	router-domain-only
450	450	set_mempolicy_home_node	missing	missing	missing
451	451	cachestat	missing	missing	missing
452	452	fchmodat2	router-domain-only	router-domain-only	router-domain-only
453	453	map_shadow_stack	missing	missing	missing
454	454	futex_wake	missing	missing	missing
455	455	futex_wait	missing	missing	missing
456	456	futex_requeue	missing	missing	missing
457	457	statmount	missing	missing	missing
458	458	listmount	missing	missing	missing
459	459	lsm_get_self_attr	missing	missing	missing
460	460	lsm_set_self_attr	missing	missing	missing
461	461	lsm_list_modules	missing	missing	missing
462	462	mseal	missing	missing	missing
463	463	setxattrat	missing	missing	missing
464	464	getxattrat	missing	missing	missing
465	465	listxattrat	missing	missing	missing
466	466	removexattrat	missing	missing	missing
467	467	open_tree_attr	missing	missing	missing
468	468	file_getattr	missing	missing	missing
469	469	file_setattr	missing	missing	missing
470	470	listns	missing	missing	missing
471	471	rseq_slice_yield	missing	missing	missing
-	2	open	router-domain-only	not-applicable	router-domain-only
-	4	stat	router-domain-only	not-applicable	router-domain-only
-	6	lstat	router-domain-only	not-applicable	router-domain-only
-	7	poll	supported	not-applicable	supported
-	21	access	supported	not-applicable	supported
-	22	pipe	router-domain-only	not-applicable	router-domain-only
-	23	select	supported	not-applicable	supported
-	34	pause	router-domain-only	not-applicable	router-domain-only
-	37	alarm	supported	not-applicable	supported
-	57	fork	supported	not-applicable	supported
-	58	vfork	router-domain-only	not-applicable	router-domain-only
-	82	rename	router-domain-only	not-applicable	router-domain-only
-	83	mkdir	router-domain-only	not-applicable	router-domain-only
-	84	rmdir	router-domain-only	not-applicable	router-domain-only
-	85	creat	router-domain-only	not-applicable	router-domain-only
-	86	link	router-domain-only	not-applicable	router-domain-only
-	87	unlink	router-domain-only	not-applicable	router-domain-only
-	88	symlink	router-domain-only	not-applicable	router-domain-only
-	89	readlink	router-domain-only	not-applicable	router-domain-only
-	90	chmod	router-domain-only	not-applicable	router-domain-only
-	92	chown	router-domain-only	not-applicable	router-domain-only
-	94	lchown	router-domain-only	not-applicable	router-domain-only
-	111	getpgrp	supported	not-applicable	supported
-	132	utime	router-domain-only	not-applicable	router-domain-only
-	133	mknod	router-domain-only	not-applicable	router-domain-only
-	201	time	supported	not-applicable	supported
-	213	epoll_create	router-domain-only	not-applicable	router-domain-only
-	232	epoll_wait	supported	not-applicable	supported
-	235	utimes	router-domain-only	not-applicable	router-domain-only
-	253	inotify_init	router-domain-only	not-applicable	router-domain-only
-	261	futimesat	router-domain-only	not-applicable	router-domain-only
-	282	signalfd	router-domain-only	not-applicable	router-domain-only
-	284	eventfd	router-domain-only	not-applicable	router-domain-only
